Size,cache-misses,cache-references,cycles,instructions,context-switches,page-faults,dTLB-load-misses
0,40712,84467,3105764,6405631,0,63,661
8,170166,333108,3428152420,808311438,10,63,1761370
16,154892,376607,6867289457,1622488310,9,64,3522067
24,42530,348721,10249563927,2421153839,18,63,5282835
32,27670,433410,13696597359,3227348954,23,63,7044598
40,37122,545372,17111945187,4027441710,39,63,8805440
48,15777,573576,20495672810,4827468331,45,64,10566504
56,32238,685302,23949876029,5628040553,54,66,12327639
64,54074,844346,27366097870,6429128429,72,66,14088506
72,89981,1111453,30787882920,7250803893,77,66,15849620
80,57667,1037408,34176114062,8052030995,94,67,17610578
88,47316,1097054,37618755763,8851854223,99,67,19371498
96,70603,1210052,41235863836,9652477618,110,69,21132416
104,40683,1260475,44415381230,10452664543,104,68,22893281
112,50375,1371236,47932430814,11253684169,125,69,24654485
120,69227,1610829,51271287997,12052952587,129,68,26415167
128,48265,1459681,54825622307,12853566397,137,69,28176439
136,97185,2087426,58151044305,13653976724,163,71,29937250
144,68917,1835903,61511620760,14454520355,156,71,31698345
152,55748,1807368,65137617256,15256149857,176,70,33459306
160,46497,1893560,68481718170,16056106718,174,71,35220154
168,96560,2256695,71762059178,16855106392,189,72,36981011
176,53869,2109082,75176636371,17656463443,195,72,38742470
184,46604,2203724,78520000491,18456458247,207,73,40503065
192,66439,2246300,81996597996,19255398924,208,75,42264054
200,54713,2545096,85405025299,20056606012,222,73,44024864
208,51901,2817805,88810681660,20857271028,229,75,45786268
216,107171,3521656,92317563181,21657141898,242,75,47546940
224,61179,3008582,95798641420,22458310310,261,76,49308326
232,48424,2803248,99285766463,23258748420,250,76,51069513
240,48151,3061195,102475467302,24058347828,271,76,52830271
248,60625,2905939,106001346155,24859259357,276,78,54591189
256,73052,3371238,109388676649,25658940172,311,79,56352119
264,51528,3273635,112849545047,26459959264,314,78,58112779
272,66000,3799243,116159606878,27258920201,340,79,59874481
280,66598,3666807,119574872205,28059024514,354,78,61635074
288,66760,4163603,122914121062,28859301191,379,80,63396083
296,62532,3669415,126595216570,29660482267,398,81,65157258
304,69349,4005861,130465662133,30462912994,408,82,66918015
312,58050,3886449,133216262198,31260147775,387,82,68679065
320,71509,4632454,136728769063,32061119428,424,82,70440990
328,57760,4033385,140000306480,32860927480,425,82,72200562
336,76978,4649489,143446143080,33660964669,448,83,73961826
344,67946,4072493,146874033489,34462109372,477,83,75722699
352,77325,4745795,150608624770,35262915402,478,83,77483869
360,78641,4757456,153775970255,36062996108,493,85,79245118
368,69539,5163959,157323101210,36863361778,495,84,81005865
376,80661,5001575,160603107805,37663103492,484,87,82767417
384,90004,5208766,163873901472,38463077563,508,85,84527588
392,70849,6297760,167441591317,39265311721,547,89,86288825
400,273490,5843836,170932667744,40054103429,500,86,88048605
408,80277,5861861,174370189426,40864443943,512,88,89810534
416,77864,5617878,177713478410,41664926870,534,87,91571879
424,96748,5473438,181034208746,42464536720,552,90,93332278
432,94350,5796157,184377138050,43264837100,522,89,95093298
440,74408,5713831,188288515550,44066700965,540,91,96855236
448,85829,5868216,191323729343,44865759171,555,90,98615299
456,88819,6288365,194863109992,45666710757,591,91,100376745
464,92941,6352744,198328447523,46467095887,575,91,102138015
472,84374,8049593,202012953579,47267936483,561,92,103899007
480,96758,5857320,205360642685,48067866787,570,93,105660134
488,141294,6057053,208560520023,48865982559,570,94,107419857
496,144557,6707762,211732454351,49671957697,584,94,109180646
504,133683,6576681,215306984911,50471338763,568,94,110942962
512,136729,7665644,219042647070,51272703237,601,96,112703624
520,133898,6655755,222105754154,52072582081,643,94,114464577
528,129526,7451043,225435776014,52872251348,674,66,116225455
536,137246,7728163,228893499603,53672431832,692,66,117986468
544,141477,7326996,232654908393,54473718485,653,66,119747476
552,153888,9013513,235818852162,55273824307,672,67,121508594
560,162510,7409450,239252218215,56073543924,681,66,123269350
568,153659,8342567,242976618078,56874690655,696,65,125030159
576,157051,8549611,246141850024,57674492846,722,65,126791334
584,169915,8442713,249460215463,58474154371,702,66,128552494
592,152651,9476041,253065077690,59275363005,703,65,130313037
600,163257,8300620,256408073998,60075453227,709,67,132074185
608,159758,8190169,259953460973,60876802306,766,66,133835184
616,174227,8031952,263688342996,61677958122,793,67,135596440
624,171187,9482675,266804576299,62477511192,759,66,137357951
632,158571,8955993,270075231238,63277836812,826,66,139117868
640,160928,9568655,273408070445,64077490242,838,65,140879920
648,169682,8972959,276841366366,64876675929,784,66,142639723
656,184123,11115700,280177099992,65678467167,846,66,144401578
664,163485,10050141,284084143601,66480604227,930,66,146161303
672,161394,9298304,287292012386,67279466847,865,66,147923260
680,173745,10790072,290856264249,68080414012,883,67,149684384
688,153795,9434886,293692126155,68882260239,935,65,151445451
696,170631,9079194,297316972764,69680445998,888,66,153206064
704,150637,10202321,300753408743,70480695044,903,65,154967333
712,229281,12034152,304268339936,71281099969,863,66,156727810
720,142364,12463663,307757201750,72083597110,861,65,158489123
728,190886,10714184,311405506379,72884979236,937,66,160250208
736,173361,14287969,314461721033,73686020043,854,67,162011544
744,175073,10251290,318108882393,74487232489,909,67,163772324
752,162772,10279213,321176291403,75283458146,884,66,165534796
760,198843,10951455,324482042098,76083341202,870,66,167294045
