Size,cache-misses,cache-references,cycles,instructions,context-switches,page-faults,dTLB-load-misses
0,6175596,40039191,5264406901,4419775020,8,61,1104481
8,7233885,47801991,5507978046,4503349038,340,61,1220148
16,6632679,39151708,5246617444,4475103624,11,62,1219383
24,3837684,41482122,5259590520,4489493504,421,62,1216624
32,3969211,41406556,5265376788,4519482876,435,64,1217560
40,6372928,40612825,5286534077,4555266400,12,64,1219869
48,3755703,41945123,5285158731,4572003084,468,65,1217223
56,3896931,41353015,5288340008,4595305749,442,66,1216637
64,4369133,40351340,5297991606,4622359125,411,67,1216748
72,5172057,40624208,5326087133,4659009860,158,67,1217015
80,3805092,45783610,5334171204,4680469630,495,67,1215537
88,4333703,40345341,5335100599,4705238074,444,68,1215932
96,5792285,41000760,5362606500,4735053308,11,68,1217968
104,4629886,46119875,5360756618,4757725549,404,68,1218249
112,4222294,40380582,5345979554,4787154892,486,70,1216319
120,4603323,40737951,5366460793,4812702865,262,69,1216032
128,4615194,41734661,5385162115,4842336002,290,69,1215208
136,5944551,37145616,5394145436,4866601405,62,69,1217225
144,3722894,40347659,5392013010,4890317017,464,71,1214992
152,5299655,38743831,5418914187,4922663652,154,71,1215683
160,4092518,38382878,5366596412,4941649074,375,71,1215796
168,3747043,46151489,5425181203,4968073304,453,72,1215036
176,3956782,41265245,5410619075,4994366073,445,74,1214917
184,5333102,38407120,5436075401,5028162473,230,74,1215406
192,3766453,40578555,5437915997,5048645199,473,74,1214728
200,5085782,43260598,5466853767,5077797838,173,74,1215124
208,5143484,38386941,5444798953,5107770917,180,75,1215877
216,7752964,83580851,10744289991,9644603858,870,75,2426144
224,11315405,82829661,10796550224,9683137048,266,75,2427156
232,11117292,83642059,10842531151,9710685246,222,75,2426990
240,11680207,77862814,10813889347,9740265450,209,78,2427161
248,11352433,83993350,10899368176,9763636377,284,76,2427526
256,7909065,91300364,10798141028,9778881075,834,79,2426091
264,9567602,86119685,10797248841,9805830222,681,78,2426787
272,10201863,93205277,10856987103,9837050722,482,78,2426178
280,9127724,97477264,10828440692,9856234337,851,81,2426546
288,8417527,88113181,10826808830,9885684250,919,80,2426701
296,8252161,86107613,10840858885,9911917645,948,80,2427074
304,9842383,94755734,10857808840,9936254485,588,81,2426886
312,9220842,88944528,10868855897,9964264212,590,81,2425503
320,8607120,98133388,10881360639,9986167087,910,81,2425751
328,9321684,90602798,10949164020,10013964795,802,81,2425282
336,8833532,83175153,10914155839,10044934237,695,83,2425028
344,10852434,84394631,10922925321,10081765432,402,82,2426680
352,10102765,85583556,10948722269,10096699378,452,85,2425703
360,12372324,84194308,10974420227,10138053610,105,84,2426941
368,12211737,86570569,11015974307,10166801128,175,86,2427659
376,11754555,90724570,11025816743,10190571205,110,85,2427337
384,12138532,84224509,10982748485,10218530697,171,87,2426859
392,10877014,98773625,11026622503,10244958901,319,86,2425520
400,12783733,91571476,11046757982,10272109519,61,86,2428079
408,8478426,93992061,10985980817,10281948603,878,89,2426000
416,10150433,90973478,11021670575,10318593321,424,88,2425826
424,12088357,91022278,11046120300,10350284777,146,88,2428049
432,10498081,83992195,11032459940,10369084792,368,89,2425728
440,12870789,86265315,11071040716,10413500524,30,88,2428508
448,8573630,88105331,10998058070,10420392098,895,91,2425234
456,10658940,90154864,11086585354,10457422092,339,90,2425282
464,11494153,90117335,11066376181,10493003091,251,91,2426316
472,19032245,128433324,16444996969,15065902366,105,90,3641289
480,17474403,135956030,16488784946,15080120064,315,92,3637579
488,12001105,135378506,16404098626,15091818558,1426,93,3636219
496,16080570,149916590,16536888463,15121704046,540,92,3637013
504,18654385,132414459,16562149009,15167903779,110,94,3639728
512,16470070,146069563,16508633860,15183854782,459,94,3637329
520,15517915,156972606,16543256834,15202989449,662,93,3638068
528,18668186,139330804,16620768945,15251611350,116,65,3637923
536,19096550,138379832,16562028396,15272943248,47,65,3640409
544,18987423,134526004,16595791047,15305038973,56,65,3640856
552,17120550,156152970,16572159578,15318369530,351,65,3636567
560,16123165,139826811,16563952176,15334528754,482,65,3635944
568,14480043,157300823,16608384164,15353432881,914,65,3636202
576,17306050,153241801,16599872886,15398986444,354,66,3636983
584,15796120,143301263,16572172827,15416767696,592,65,3637115
592,15701544,141623482,16634019122,15447639186,598,65,3636807
600,18475028,131103498,16653037845,15486475283,140,65,3638244
608,13321195,138435648,16567338389,15490857872,1002,65,3636122
616,18510880,140703200,16688597012,15541920522,144,64,3638900
624,13665011,145552106,16638250247,15540499930,1029,65,3636688
632,13757826,144063578,16603174131,15576311528,938,65,3635894
640,17011155,144976434,16672292901,15615844049,388,65,3635745
648,17041031,145306495,16738696461,15637884528,375,64,3637215
656,18416114,166818762,16766768289,15670713120,198,65,3640411
664,17117619,135764096,16656372704,15685561577,434,65,3637005
672,15606235,140450941,16703989932,15702267670,689,65,3638012
680,14120729,149758368,16704642643,15725760067,890,64,3635798
688,17832733,162975533,16748392063,15772573662,224,66,3637783
696,12705402,141715595,16666671239,15779821945,1165,64,3635878
704,12889220,147806927,16650096632,15802791155,1087,65,3635931
712,15945953,139936456,16741079848,15841277623,540,64,3636383
720,13183684,175431871,16762103396,15862168288,1078,67,3636515
728,18038989,143552393,16764995764,15904735657,219,66,3637466
736,18682224,136897951,16783579742,15931267817,138,65,3638641
744,14989281,146428838,16755905842,15950959428,745,64,3636348
752,16474649,174463503,16779746756,15976864265,432,65,3636765
760,14313956,139571728,16764172033,15990849865,825,65,3636127
768,26101753,225170414,22205095972,20604602971,42,66,4853441
776,18852495,194806198,22053638316,20588444593,1287,65,4847738
784,16587443,209887090,22053472806,20605547060,1792,66,4847521
792,20958900,202396226,22075605903,20650070628,914,65,4847873
800,21534812,213173175,22124141538,20676552733,840,66,4847014
808,23746771,195593176,22185669958,20717963704,394,65,4848838
816,23984646,211939215,22294396627,20739890277,367,66,4849140
824,18455136,200239054,22108978008,20754377673,1281,67,4847961
832,25530258,196280756,22263731378,20810283057,201,65,4849045
840,23308066,198601687,22194902001,20823738565,526,67,4848925
848,22503578,200774321,22217372681,20835182977,730,67,4847638
856,19511429,200216788,22149173466,20846727285,1190,66,4846984
864,20649384,202385444,22169317719,20884464882,927,65,4847547
872,21970070,196298550,22235491548,20907552835,872,66,4849333
880,22975009,208343129,22269347777,20953730414,597,65,4847364
888,25224337,219734311,22313298369,20987482281,194,66,4851039
896,21122155,239955865,22285488233,21003217658,868,65,4847397
904,22405013,228476355,22291309589,21021033629,699,66,4847422
912,20581265,228457622,22274060646,21041515765,1041,66,4847287
920,25583333,202930465,22342583573,21096681364,134,66,4850034
928,19667263,208986271,22312690497,21090842276,1208,66,4847312
936,22990944,206711393,22336824714,21138376067,593,65,4848610
944,21253047,230909804,22283818946,21147075178,891,66,4848692
952,22920061,194118808,22297331909,21187563088,604,66,4847496
960,20753010,204128134,22304558358,21205548203,938,66,4847056
968,22572028,205218296,22366681656,21243926417,711,66,4849376
976,25114348,203579973,22523762844,21277745797,234,66,4851286
984,22275424,228659635,22356982333,21279340062,799,66,4848689
992,22797813,203310916,22388768884,21323933575,623,67,4847604
1000,17775440,206730020,22271467310,21324854975,1547,65,4847981
1008,21847000,238207236,22447669306,21360074626,741,66,4848616
1016,20340734,218253222,22359435842,21385256313,1069,66,4847370
1024,29733419,265963108,27810892133,25976876286,677,67,6060277
