Size,cache-misses,cache-references,cycles,instructions,context-switches,page-faults,dTLB-load-misses
0,7069,73681,2853086,5180947,0,63,643
8,21376,63182,8068293,24180433,0,62,575
16,7911,70712,11158561,41851352,1,63,591
24,6481,69003,14498482,59413703,1,63,577
32,7246,67838,18035704,77064461,1,64,595
40,7853,72478,25528423,94749235,2,64,616
48,7605,73212,28301579,112298113,1,64,606
56,8056,72586,31537702,129963537,2,66,625
64,8728,78802,35323343,147612100,2,66,639
72,8334,74487,38880796,165184292,2,66,668
80,8810,75120,42272595,182822307,2,67,658
88,8487,76507,45548454,200439213,2,66,642
96,7651,73299,49270230,217995965,2,68,617
104,8706,76188,52749943,235653075,2,68,644
112,8608,78641,56281236,253250483,3,69,624
120,9012,80097,59884644,270888560,3,69,662
128,9424,76759,63484984,288483535,2,70,548
136,9821,80367,67070915,306097374,2,70,662
144,9159,79700,70324404,323705844,2,71,678
152,9048,81394,73988253,341324893,2,71,699
160,10015,80567,77622871,358956503,3,71,684
168,9062,77625,81286824,376534004,4,72,655
176,9488,81470,84647261,394167311,2,74,658
184,9236,81913,87966120,411787559,3,73,665
192,9279,80381,91707072,429379856,2,74,690
200,8766,77288,95245520,446986511,3,73,674
208,9719,82035,98762514,464611118,2,76,567
216,9361,76790,102207601,482230494,2,75,689
224,9525,81033,105814158,499803953,2,75,558
232,9908,83348,109377712,517442077,2,77,695
240,10721,82499,112876021,535073303,2,79,714
248,9314,82697,116430222,552663430,3,76,699
256,9734,79876,119994481,570282518,2,79,728
264,9819,82616,123419424,587900923,2,78,736
272,9464,83536,126975572,605522895,2,78,706
280,9860,81440,130681664,623114954,3,79,702
288,9665,84256,134155374,640786832,2,79,709
296,10115,84105,137719653,658361854,3,79,742
304,10492,83422,141254528,676011986,4,81,716
312,10010,81581,144737757,693568925,2,81,712
320,10407,82060,148238248,711208942,2,83,619
328,10691,81788,151680966,728789665,3,82,707
336,10084,83330,155339443,746477058,2,84,756
344,10298,84131,158922161,764045157,3,82,770
352,10318,83303,162574333,781669307,2,83,746
360,10501,82861,165907536,799294622,3,85,761
368,10405,84811,169528455,816883140,2,85,745
376,10435,80399,173033724,834500533,2,85,607
384,10313,82279,176456647,852101512,2,85,741
392,10660,83699,180135177,869745303,3,86,762
400,21229,78857,184231113,887130159,0,86,697
408,10622,86399,187169311,904974177,2,88,771
416,10753,85942,190735034,922547856,2,88,736
424,10894,84724,194121261,940178106,2,89,759
432,10958,85034,197856328,957790444,2,90,776
440,11692,87576,201373148,975405723,3,90,663
448,10987,84584,204855330,993019441,2,89,775
456,11430,89016,208540886,1010666670,3,90,778
464,10869,86729,212009164,1028260337,3,91,757
472,11650,87056,215489025,1045889033,3,91,799
480,11239,86138,219096862,1063514732,4,93,778
488,10636,85774,222581071,1081101606,2,92,784
496,12103,89107,226225527,1098715771,3,92,824
504,12026,87599,229699169,1116369096,4,92,834
512,10192,86105,233102355,1133902788,2,93,750
520,10856,89001,236674978,1151559184,3,93,787
528,9685,86547,240093444,1168999994,3,65,628
536,9222,86098,243578688,1186621506,2,65,755
544,8332,82351,247043228,1204232014,2,65,715
552,9536,83405,250671356,1221833339,4,65,745
560,9376,86727,254140991,1239451892,2,64,744
568,9186,84951,257609457,1257081430,4,65,730
576,9201,84296,261261113,1274697490,2,64,781
584,9030,88396,264792796,1292299064,2,64,765
592,9172,90305,268254062,1309913483,5,65,740
600,8482,87946,271795599,1327452558,2,64,736
608,9868,84770,275454151,1345217843,3,64,778
616,9579,89090,278869896,1362748515,4,65,747
624,9320,89471,282447702,1380369835,4,64,747
632,9510,86853,286021240,1397956151,2,65,743
640,9851,91222,289611041,1415581035,6,65,759
648,8800,87421,293015258,1433212609,3,64,760
656,9014,87441,296482197,1450779131,3,65,752
664,10037,90163,300144438,1468419629,4,65,793
672,9791,87474,303601263,1486024250,3,65,757
680,9391,89291,307305870,1503632674,3,65,637
688,8636,87840,310581684,1521208765,3,64,770
